日期,时间,出发站点,到达站点,客流量
2023/5/31,16:30-17:00,什刹海,北土城,
2023/5/31,16:30-17:00,什刹海,奥林匹克公园,
2023/5/31,16:30-17:00,六道口,奥林匹克公园,
2023/5/31,16:30-17:00,前门,奥林匹克公园,
2023/5/31,16:30-17:00,北京站,北土城,
2023/5/31,16:30-17:00,北京西站,奥林匹克公园,
2023/5/31,16:30-17:00,南锣鼓巷,奥林匹克公园,
2023/5/31,16:30-17:00,国贸,惠新西街南口,
2023/5/31,16:30-17:00,天通苑,奥林匹克公园,
2023/5/31,16:30-17:00,奥林匹克公园,六道口,
2023/5/31,16:30-17:00,奥林匹克公园,北土城,
2023/5/31,16:30-17:00,海淀黄庄,北土城,
2023/5/31,16:30-17:00,海淀黄庄,奥林匹克公园,
2023/5/31,16:30-17:00,海淀黄庄,牡丹园,
2023/5/31,16:30-17:00,清华东路西口,奥林匹克公园,
2023/5/31,16:30-17:00,王府井,奥林匹克公园,
2023/5/31,16:30-17:00,立水桥,大屯路东,
2023/5/31,16:30-17:00,苏州街,牡丹园,
2023/5/31,16:30-17:00,西二旗,六道口,
2023/5/31,16:30-17:00,西二旗,奥林匹克公园,
2023/5/31,16:30-17:00,金台夕照,惠新西街南口,
2023/5/31,16:30-17:00,金鱼胡同,北土城,
2023/5/31,16:30-17:00,金鱼胡同,奥林匹克公园,
2023/5/31,17:00-17:30,东单,大屯路东,
2023/5/31,17:00-17:30,中国美术馆,奥林匹克公园,
2023/5/31,17:00-17:30,什刹海,北土城,
2023/5/31,17:00-17:30,什刹海,奥林匹克公园,
2023/5/31,17:00-17:30,六道口,奥林匹克公园,
2023/5/31,17:00-17:30,前门,奥林匹克公园,
2023/5/31,17:00-17:30,北京站,北土城,
2023/5/31,17:00-17:30,北京西站,奥林匹克公园,
2023/5/31,17:00-17:30,南锣鼓巷,奥林匹克公园,
2023/5/31,17:00-17:30,国贸,惠新西街南口,
2023/5/31,17:00-17:30,天通苑,奥林匹克公园,
2023/5/31,17:00-17:30,奥林匹克公园,六道口,
2023/5/31,17:00-17:30,奥林匹克公园,北土城,
2023/5/31,17:00-17:30,海淀黄庄,北土城,
2023/5/31,17:00-17:30,海淀黄庄,奥林匹克公园,
2023/5/31,17:00-17:30,海淀黄庄,牡丹园,
2023/5/31,17:00-17:30,清华东路西口,奥林匹克公园,
2023/5/31,17:00-17:30,王府井,奥林匹克公园,
2023/5/31,17:00-17:30,立水桥,大屯路东,
2023/5/31,17:00-17:30,苏州街,牡丹园,
2023/5/31,17:00-17:30,西二旗,六道口,
2023/5/31,17:00-17:30,西二旗,奥林匹克公园,
2023/5/31,17:00-17:30,金台夕照,惠新西街南口,
2023/5/31,17:00-17:30,金鱼胡同,北土城,
2023/5/31,17:00-17:30,金鱼胡同,奥林匹克公园,
2023/5/31,17:30-18:00,东单,大屯路东,
2023/5/31,17:30-18:00,中国美术馆,奥林匹克公园,
2023/5/31,17:30-18:00,什刹海,北土城,
2023/5/31,17:30-18:00,什刹海,奥林匹克公园,
2023/5/31,17:30-18:00,六道口,奥林匹克公园,
2023/5/31,17:30-18:00,前门,奥林匹克公园,
2023/5/31,17:30-18:00,北京站,北土城,
2023/5/31,17:30-18:00,北京西站,奥林匹克公园,
2023/5/31,17:30-18:00,南锣鼓巷,奥林匹克公园,
2023/5/31,17:30-18:00,国贸,惠新西街南口,
2023/5/31,17:30-18:00,天通苑,奥林匹克公园,
2023/5/31,17:30-18:00,奥林匹克公园,六道口,
2023/5/31,17:30-18:00,奥林匹克公园,北土城,
2023/5/31,17:30-18:00,海淀黄庄,北土城,
2023/5/31,17:30-18:00,海淀黄庄,奥林匹克公园,
2023/5/31,17:30-18:00,海淀黄庄,牡丹园,
2023/5/31,17:30-18:00,清华东路西口,奥林匹克公园,
2023/5/31,17:30-18:00,王府井,奥林匹克公园,
2023/5/31,17:30-18:00,立水桥,大屯路东,
2023/5/31,17:30-18:00,苏州街,牡丹园,
2023/5/31,17:30-18:00,西二旗,六道口,
2023/5/31,17:30-18:00,西二旗,奥林匹克公园,
2023/5/31,17:30-18:00,金台夕照,惠新西街南口,
2023/5/31,17:30-18:00,金鱼胡同,北土城,
2023/5/31,17:30-18:00,金鱼胡同,奥林匹克公园,
2023/5/31,18:00-18:30,东单,大屯路东,
2023/5/31,18:00-18:30,中国美术馆,奥林匹克公园,
2023/5/31,18:00-18:30,什刹海,北土城,
2023/5/31,18:00-18:30,什刹海,奥林匹克公园,
2023/5/31,18:00-18:30,六道口,奥林匹克公园,
2023/5/31,18:00-18:30,前门,奥林匹克公园,
2023/5/31,18:00-18:30,北京站,北土城,
2023/5/31,18:00-18:30,北京西站,奥林匹克公园,
2023/5/31,18:00-18:30,南锣鼓巷,奥林匹克公园,
2023/5/31,18:00-18:30,国贸,惠新西街南口,
2023/5/31,18:00-18:30,天通苑,奥林匹克公园,
2023/5/31,18:00-18:30,奥林匹克公园,六道口,
2023/5/31,18:00-18:30,奥林匹克公园,北土城,
2023/5/31,18:00-18:30,海淀黄庄,北土城,
2023/5/31,18:00-18:30,海淀黄庄,奥林匹克公园,
2023/5/31,18:00-18:30,海淀黄庄,牡丹园,
2023/5/31,18:00-18:30,清华东路西口,奥林匹克公园,
2023/5/31,18:00-18:30,王府井,奥林匹克公园,
2023/5/31,18:00-18:30,立水桥,大屯路东,
2023/5/31,18:00-18:30,苏州街,牡丹园,
2023/5/31,18:00-18:30,西二旗,六道口,
2023/5/31,18:00-18:30,西二旗,奥林匹克公园,
2023/5/31,18:00-18:30,金台夕照,惠新西街南口,
2023/5/31,18:00-18:30,金鱼胡同,北土城,
2023/5/31,18:00-18:30,金鱼胡同,奥林匹克公园,
2023/5/31,21:30-22:00,六道口,学院桥,
2023/5/31,21:30-22:00,六道口,沙河,
2023/5/31,21:30-22:00,北土城,北京站,
2023/5/31,21:30-22:00,北土城,十里河,
2023/5/31,21:30-22:00,北土城,团结湖,
2023/5/31,21:30-22:00,北土城,牡丹园,
2023/5/31,21:30-22:00,北土城,车道沟,
2023/5/31,21:30-22:00,大屯路东,天通苑,
2023/5/31,21:30-22:00,大屯路东,天通苑北,
2023/5/31,21:30-22:00,奥林匹克公园,东单,
2023/5/31,21:30-22:00,奥林匹克公园,六道口,
2023/5/31,21:30-22:00,奥林匹克公园,北京站,
2023/5/31,21:30-22:00,奥林匹克公园,回龙观东大街,
2023/5/31,21:30-22:00,奥林匹克公园,望京,
2023/5/31,21:30-22:00,奥林匹克公园,永泰庄,
2023/5/31,21:30-22:00,奥林匹克公园,海淀黄庄,
2023/5/31,21:30-22:00,奥林匹克公园,清华东路西口,
2023/5/31,21:30-22:00,奥林匹克公园,王府井,
2023/5/31,21:30-22:00,奥林匹克公园,珠市口,
2023/5/31,21:30-22:00,奥林匹克公园,西二旗,
2023/5/31,21:30-22:00,奥林匹克公园,鼓楼大街,
2023/5/31,21:30-22:00,惠新西街南口,天通苑,
2023/5/31,21:30-22:00,惠新西街南口,天通苑北,
2023/5/31,21:30-22:00,牡丹园,天通苑,
2023/5/31,21:30-22:00,牡丹园,天通苑北,
2023/5/31,22:00-22:30,六道口,学院桥,
2023/5/31,22:00-22:30,六道口,沙河,
2023/5/31,22:00-22:30,北土城,北京站,
2023/5/31,22:00-22:30,北土城,十里河,
2023/5/31,22:00-22:30,北土城,团结湖,
2023/5/31,22:00-22:30,北土城,牡丹园,
2023/5/31,22:00-22:30,北土城,车道沟,
2023/5/31,22:00-22:30,大屯路东,天通苑,
2023/5/31,22:00-22:30,大屯路东,天通苑北,
2023/5/31,22:00-22:30,奥林匹克公园,东单,
2023/5/31,22:00-22:30,奥林匹克公园,六道口,
2023/5/31,22:00-22:30,奥林匹克公园,北京站,
2023/5/31,22:00-22:30,奥林匹克公园,回龙观东大街,
2023/5/31,22:00-22:30,奥林匹克公园,望京,
2023/5/31,22:00-22:30,奥林匹克公园,永泰庄,
2023/5/31,22:00-22:30,奥林匹克公园,海淀黄庄,
2023/5/31,22:00-22:30,奥林匹克公园,清华东路西口,
2023/5/31,22:00-22:30,奥林匹克公园,王府井,
2023/5/31,22:00-22:30,奥林匹克公园,珠市口,
2023/5/31,22:00-22:30,奥林匹克公园,西二旗,
2023/5/31,22:00-22:30,奥林匹克公园,鼓楼大街,
2023/5/31,22:00-22:30,惠新西街南口,天通苑,
2023/5/31,22:00-22:30,惠新西街南口,天通苑北,
2023/5/31,22:00-22:30,牡丹园,天通苑,
2023/5/31,22:00-22:30,牡丹园,天通苑北,
2023/5/31,22:30-23:00,六道口,学院桥,
2023/5/31,22:30-23:00,六道口,沙河,
2023/5/31,22:30-23:00,北土城,北京站,
2023/5/31,22:30-23:00,北土城,十里河,
2023/5/31,22:30-23:00,北土城,团结湖,
2023/5/31,22:30-23:00,北土城,牡丹园,
2023/5/31,22:30-23:00,北土城,车道沟,
2023/5/31,22:30-23:00,大屯路东,天通苑,
2023/5/31,22:30-23:00,大屯路东,天通苑北,
2023/5/31,22:30-23:00,奥林匹克公园,东单,
2023/5/31,22:30-23:00,奥林匹克公园,六道口,
2023/5/31,22:30-23:00,奥林匹克公园,北京站,
2023/5/31,22:30-23:00,奥林匹克公园,回龙观东大街,
2023/5/31,22:30-23:00,奥林匹克公园,望京,
2023/5/31,22:30-23:00,奥林匹克公园,永泰庄,
2023/5/31,22:30-23:00,奥林匹克公园,海淀黄庄,
2023/5/31,22:30-23:00,奥林匹克公园,清华东路西口,
2023/5/31,22:30-23:00,奥林匹克公园,王府井,
2023/5/31,22:30-23:00,奥林匹克公园,珠市口,
2023/5/31,22:30-23:00,奥林匹克公园,西二旗,
2023/5/31,22:30-23:00,奥林匹克公园,鼓楼大街,
2023/5/31,22:30-23:00,惠新西街南口,天通苑,
2023/5/31,22:30-23:00,惠新西街南口,天通苑北,
2023/5/31,22:30-23:00,牡丹园,天通苑,
2023/5/31,22:30-23:00,牡丹园,天通苑北,
2023/6/1,15:00-15:30,东单,大屯路东,
2023/6/1,15:00-15:30,中国美术馆,奥林匹克公园,
2023/6/1,15:00-15:30,什刹海,北土城,
2023/6/1,15:00-15:30,什刹海,奥林匹克公园,
2023/6/1,15:00-15:30,六道口,奥林匹克公园,
2023/6/1,15:00-15:30,前门,奥林匹克公园,
2023/6/1,15:00-15:30,北京站,北土城,
2023/6/1,15:00-15:30,北京西站,奥林匹克公园,
2023/6/1,15:00-15:30,南锣鼓巷,奥林匹克公园,
2023/6/1,15:00-15:30,国贸,惠新西街南口,
2023/6/1,15:00-15:30,天通苑,奥林匹克公园,
2023/6/1,15:00-15:30,奥林匹克公园,六道口,
2023/6/1,15:00-15:30,奥林匹克公园,北土城,
2023/6/1,15:00-15:30,海淀黄庄,北土城,
2023/6/1,15:00-15:30,海淀黄庄,奥林匹克公园,
2023/6/1,15:00-15:30,海淀黄庄,牡丹园,
2023/6/1,15:00-15:30,清华东路西口,奥林匹克公园,
2023/6/1,15:00-15:30,王府井,奥林匹克公园,
2023/6/1,15:00-15:30,立水桥,大屯路东,
2023/6/1,15:00-15:30,苏州街,牡丹园,
2023/6/1,15:00-15:30,西二旗,六道口,
2023/6/1,15:00-15:30,西二旗,奥林匹克公园,
2023/6/1,15:00-15:30,金台夕照,惠新西街南口,
2023/6/1,15:00-15:30,金鱼胡同,北土城,
2023/6/1,15:00-15:30,金鱼胡同,奥林匹克公园,
2023/6/1,15:30-16:00,东单,大屯路东,
2023/6/1,15:30-16:00,中国美术馆,奥林匹克公园,
2023/6/1,15:30-16:00,什刹海,北土城,
2023/6/1,15:30-16:00,什刹海,奥林匹克公园,
2023/6/1,15:30-16:00,六道口,奥林匹克公园,
2023/6/1,15:30-16:00,前门,奥林匹克公园,
2023/6/1,15:30-16:00,北京站,北土城,
2023/6/1,15:30-16:00,北京西站,奥林匹克公园,
2023/6/1,15:30-16:00,南锣鼓巷,奥林匹克公园,
2023/6/1,15:30-16:00,国贸,惠新西街南口,
2023/6/1,15:30-16:00,天通苑,奥林匹克公园,
2023/6/1,15:30-16:00,奥林匹克公园,六道口,
2023/6/1,15:30-16:00,奥林匹克公园,北土城,
2023/6/1,15:30-16:00,海淀黄庄,北土城,
2023/6/1,15:30-16:00,海淀黄庄,奥林匹克公园,
2023/6/1,15:30-16:00,海淀黄庄,牡丹园,
2023/6/1,15:30-16:00,清华东路西口,奥林匹克公园,
2023/6/1,15:30-16:00,王府井,奥林匹克公园,
2023/6/1,15:30-16:00,立水桥,大屯路东,
2023/6/1,15:30-16:00,苏州街,牡丹园,
2023/6/1,15:30-16:00,西二旗,六道口,
2023/6/1,15:30-16:00,西二旗,奥林匹克公园,
2023/6/1,15:30-16:00,金台夕照,惠新西街南口,
2023/6/1,15:30-16:00,金鱼胡同,北土城,
2023/6/1,15:30-16:00,金鱼胡同,奥林匹克公园,
2023/6/1,16:00-16:30,东单,大屯路东,
2023/6/1,16:00-16:30,中国美术馆,奥林匹克公园,
2023/6/1,16:00-16:30,什刹海,北土城,
2023/6/1,16:00-16:30,什刹海,奥林匹克公园,
2023/6/1,16:00-16:30,六道口,奥林匹克公园,
2023/6/1,16:00-16:30,前门,奥林匹克公园,
2023/6/1,16:00-16:30,北京站,北土城,
2023/6/1,16:00-16:30,北京西站,奥林匹克公园,
2023/6/1,16:00-16:30,南锣鼓巷,奥林匹克公园,
2023/6/1,16:00-16:30,国贸,惠新西街南口,
2023/6/1,16:00-16:30,天通苑,奥林匹克公园,
2023/6/1,16:00-16:30,奥林匹克公园,六道口,
2023/6/1,16:00-16:30,奥林匹克公园,北土城,
2023/6/1,16:00-16:30,海淀黄庄,北土城,
2023/6/1,16:00-16:30,海淀黄庄,奥林匹克公园,
2023/6/1,16:00-16:30,海淀黄庄,牡丹园,
2023/6/1,16:00-16:30,清华东路西口,奥林匹克公园,
2023/6/1,16:00-16:30,王府井,奥林匹克公园,
2023/6/1,16:00-16:30,立水桥,大屯路东,
2023/6/1,16:00-16:30,苏州街,牡丹园,
2023/6/1,16:00-16:30,西二旗,六道口,
2023/6/1,16:00-16:30,西二旗,奥林匹克公园,
2023/6/1,16:00-16:30,金台夕照,惠新西街南口,
2023/6/1,16:00-16:30,金鱼胡同,北土城,
2023/6/1,16:00-16:30,金鱼胡同,奥林匹克公园,
2023/6/1,16:30-17:00,东单,大屯路东,
2023/6/1,16:30-17:00,中国美术馆,奥林匹克公园,
2023/6/1,16:30-17:00,什刹海,北土城,
2023/6/1,16:30-17:00,什刹海,奥林匹克公园,
2023/6/1,16:30-17:00,六道口,奥林匹克公园,
2023/6/1,16:30-17:00,前门,奥林匹克公园,
2023/6/1,16:30-17:00,北京站,北土城,
2023/6/1,16:30-17:00,北京西站,奥林匹克公园,
2023/6/1,16:30-17:00,南锣鼓巷,奥林匹克公园,
2023/6/1,16:30-17:00,国贸,惠新西街南口,
2023/6/1,16:30-17:00,天通苑,奥林匹克公园,
2023/6/1,16:30-17:00,奥林匹克公园,六道口,
2023/6/1,16:30-17:00,奥林匹克公园,北土城,
2023/6/1,16:30-17:00,海淀黄庄,北土城,
2023/6/1,16:30-17:00,海淀黄庄,奥林匹克公园,
2023/6/1,16:30-17:00,海淀黄庄,牡丹园,
2023/6/1,16:30-17:00,清华东路西口,奥林匹克公园,
2023/6/1,16:30-17:00,王府井,奥林匹克公园,
2023/6/1,16:30-17:00,立水桥,大屯路东,
2023/6/1,16:30-17:00,苏州街,牡丹园,
2023/6/1,16:30-17:00,西二旗,六道口,
2023/6/1,16:30-17:00,西二旗,奥林匹克公园,
2023/6/1,16:30-17:00,金台夕照,惠新西街南口,
2023/6/1,16:30-17:00,金鱼胡同,北土城,
2023/6/1,16:30-17:00,金鱼胡同,奥林匹克公园,
2023/6/1,17:00-17:30,东单,大屯路东,
2023/6/1,17:00-17:30,中国美术馆,奥林匹克公园,
2023/6/1,17:00-17:30,什刹海,北土城,
2023/6/1,17:00-17:30,什刹海,奥林匹克公园,
2023/6/1,17:00-17:30,六道口,奥林匹克公园,
2023/6/1,17:00-17:30,前门,奥林匹克公园,
2023/6/1,17:00-17:30,北京站,北土城,
2023/6/1,17:00-17:30,北京西站,奥林匹克公园,
2023/6/1,17:00-17:30,南锣鼓巷,奥林匹克公园,
2023/6/1,17:00-17:30,国贸,惠新西街南口,
2023/6/1,17:00-17:30,天通苑,奥林匹克公园,
2023/6/1,17:00-17:30,奥林匹克公园,六道口,
2023/6/1,17:00-17:30,奥林匹克公园,北土城,
2023/6/1,17:00-17:30,海淀黄庄,北土城,
2023/6/1,17:00-17:30,海淀黄庄,奥林匹克公园,
2023/6/1,17:00-17:30,海淀黄庄,牡丹园,
2023/6/1,17:00-17:30,清华东路西口,奥林匹克公园,
2023/6/1,17:00-17:30,王府井,奥林匹克公园,
2023/6/1,17:00-17:30,立水桥,大屯路东,
2023/6/1,17:00-17:30,苏州街,牡丹园,
2023/6/1,17:00-17:30,西二旗,六道口,
2023/6/1,17:00-17:30,西二旗,奥林匹克公园,
2023/6/1,17:00-17:30,金台夕照,惠新西街南口,
2023/6/1,17:00-17:30,金鱼胡同,北土城,
2023/6/1,17:00-17:30,金鱼胡同,奥林匹克公园,
2023/6/1,17:30-18:00,东单,大屯路东,
2023/6/1,17:30-18:00,中国美术馆,奥林匹克公园,
2023/6/1,17:30-18:00,什刹海,北土城,
2023/6/1,17:30-18:00,什刹海,奥林匹克公园,
2023/6/1,17:30-18:00,六道口,奥林匹克公园,
2023/6/1,17:30-18:00,前门,奥林匹克公园,
2023/6/1,17:30-18:00,北京站,北土城,
2023/6/1,17:30-18:00,北京西站,奥林匹克公园,
2023/6/1,17:30-18:00,南锣鼓巷,奥林匹克公园,
2023/6/1,17:30-18:00,国贸,惠新西街南口,
2023/6/1,17:30-18:00,天通苑,奥林匹克公园,
2023/6/1,17:30-18:00,奥林匹克公园,六道口,
2023/6/1,17:30-18:00,奥林匹克公园,北土城,
2023/6/1,17:30-18:00,海淀黄庄,北土城,
2023/6/1,17:30-18:00,海淀黄庄,奥林匹克公园,
2023/6/1,17:30-18:00,海淀黄庄,牡丹园,
2023/6/1,17:30-18:00,清华东路西口,奥林匹克公园,
2023/6/1,17:30-18:00,王府井,奥林匹克公园,
2023/6/1,17:30-18:00,立水桥,大屯路东,
2023/6/1,17:30-18:00,苏州街,牡丹园,
2023/6/1,17:30-18:00,西二旗,六道口,
2023/6/1,17:30-18:00,西二旗,奥林匹克公园,
2023/6/1,17:30-18:00,金台夕照,惠新西街南口,
2023/6/1,17:30-18:00,金鱼胡同,北土城,
2023/6/1,17:30-18:00,金鱼胡同,奥林匹克公园,
2023/6/1,18:00-18:30,东单,大屯路东,
2023/6/1,18:00-18:30,中国美术馆,奥林匹克公园,
2023/6/1,18:00-18:30,什刹海,北土城,
2023/6/1,18:00-18:30,什刹海,奥林匹克公园,
2023/6/1,18:00-18:30,六道口,奥林匹克公园,
2023/6/1,18:00-18:30,前门,奥林匹克公园,
2023/6/1,18:00-18:30,北京站,北土城,
2023/6/1,18:00-18:30,北京西站,奥林匹克公园,
2023/6/1,18:00-18:30,南锣鼓巷,奥林匹克公园,
2023/6/1,18:00-18:30,国贸,惠新西街南口,
